Gauge;lat;lon
1454002;-54.97277832;-14.89416695
1454003;-54.97805405;-14.75388908
1455008;-55.85499954;-14.84388924
1455010;-55.23333359;-14.77722263
1455011;-55.46027756;-14.66611099
1455012;-55.84805679;-14.54166698
1455014;-55.79999924;-14.86666679
1456001;-56.8488884;-14.52000046
1456003;-56.81361008;-14.45083332
1456004;-56.12250137;-14.65277767
1456005;-56.44638824;-14.40583324
1456008;-56.41166687;-14.83416653
1457000;-57.76777649;-14.85055542
1457001;-57.46805573;-14.63194466
1457004;-57.92527771;-14.58416653
1555001;-55.72888947;-15.46888924
1555005;-55.32305527;-15.83694458
1555007;-55.43694305;-15.36555576
1555008;-55.73888779;-15.23361111
1555010;-55.64083481;-15.21277809
1555011;-55.44138718;-15.09194469
1555012;-55.07333374;-15.05305576
1556000;-56.23166656;-15.35499954
1556005;-56.36555481;-15.20666695
1556006;-56.61194611;-15.63611126
1556007;-56.13360977;-15.69888878
1556010;-56.12833405;-15.27444458
1557000;-57.23110962;-15.32583332
1557001;-57.18249893;-15.07666683
1557003;-57.47499847;-15.6366663
1557005;-57.8105545;-15.09333324
1558000;-58.11333466;-15.24555588
1558001;-57.89444351;-15.46722221
1558004;-58.58777618;-15.43999958
1558005;-58.46472168;-15.85333347
1654000;-54.65638733;-16.47055626
1654001;-54.26388931;-16.67333412
1654004;-54.40722275;-16.84222221
1654005;-54.15222168;-16.39111137
1656002;-56.54499817;-16.32027817
1657003;-57.68333435;-16.06666756
1657004;-57.25638962;-16.0363884
1658000;-58.33889008;-16.39444351
1659001;-59.49000168;-16.27000046
1754000;-54.13888931;-17.20722198
1754002;-54.75666809;-17.58694458
1755000;-55.23222351;-17.49166679
1853002;-54.2780571;-18.19833374
1853005;-53.64138794;-18.67361069
1854001;-54.56027603;-18.11638832
1854002;-54.83222198;-18.90999985
1854003;-54.35722351;-18.64916611
1854004;-54.79999924;-18.43333244
1854006;-54.5988884;-18.72416687
1857001;-57.48860931;-18.03861046
1954003;-54.98333359;-19.43944359
1954004;-54.03555679;-19.5336113
1954006;-54.17277908;-19.30249977
1957005;-57.5933342;-19.30527687
2054005;-54.8116684;-20.49361038
2054009;-54.87166595;-20.49500084
2054019;-54.43361282;-20.1016674
2054021;-54.97888947;-20.95194435
2055001;-55.39277649;-20.12694359
2055002;-55.42750168;-20.44805527
2055003;-55.44472122;-20.29138947
2056001;-56.36833191;-20.24138832
2056003;-56.09111023;-20.76194382
2056007;-56.98389053;-20.92666626
2057001;-57.32138824;-20.04972267
2155001;-55.82416534;-21.14944458
2156000;-56.51694489;-21.11527824
2156001;-56.09000015;-21.4402771
2157003;-57.03833389;-21.19000053
2157005;-57.35777664;-21.68833351
2256001;-56.52639008;-22.10888863
2257000;-57.02916718;-22.0308342
2257001;-57.30389023;-22.22361183
