Gauge;lat;lon
1655000;-55.58638763;-16.35611153
1655001;-55.20639038;-16.60805511
1655002;-55.96583176;-16.1922226
1655003;-55.52138901;-16.72750092
1655004;-55.90611267;-16.88833427
1656001;-56.33333206;-16.43333244
1656003;-56.22333145;-16.92111206
1656004;-56.63194275;-16.94416618
1755003;-56.00805664;-17.20138931
1757001;-57.35944366;-17.1427784
1757003;-57.69055557;-17.64138794
1857000;-57.59999847;-18.63333321
1857003;-57.39110947;-18.39388847
1955000;-55.79222107;-19.94305611
1956001;-56.71222305;-19.17333412
1956003;-56.20416641;-19.67805481
1956004;-56.08889008;-19.00333405
1956008;-56.40638733;-19.3591671
1957003;-57.23527908;-19.25833321
1957004;-57.78944397;-19.91861153
1957006;-57.43722153;-19.60055542
2055004;-55.64416504;-20.07027817
2057000;-57.64777756;-20.29083252
2157004;-57.88527679;-21.69361115
2157006;-57.8441658;-21.09861183
